序号,医保机构名称,单位类型,详细地址,外派机构信息,医保机构编码,单位类型代码,所属区
1,杭州市医疗保障局,医保局机关,建国北路799号,,S33010010004,10,杭州市
2,杭州市医疗保障事务受理中心,基本医疗保障经办机构,西湖大道149号万科金色城品1-3层,,S33010020006,20,杭州市
3,杭州市医疗保障管理服务中心(杭州市医疗保障稽查支队),基本医疗保障经办机构,浙江省杭州市下城区建国北路799号,,S33010020007,20,杭州市
4,杭州市医疗保障管理服务中心上城分中心(杭州市上城区医疗保障管理服务中心),基本医疗保障经办机构,杭州市上城区望潮路77号东楼904室,,S33010220008,20,上城区
5,杭州市医疗保障管理服务中心杭州铁路分中心,其他,环城东路12号,,S33010270197,59,上城区
6,杭州市医疗保障管理服务中心下城分中心,基本医疗保障经办机构,杭州市下城区白石巷256号,,S33010320009,20,拱墅区
7,杭州市医疗保障管理服务中心江干分中心（杭州市江干区医疗保障管理服务中心）,基本医疗保障经办机构,杭州市江干区广景弄6号,,S33010420010,20,江干区
8,杭州市医疗保障管理服务中心拱墅分中心,基本医疗保障经办机构,绍兴路555号（大关路与沈半路交叉口）,,S33010520011,20,拱墅区
9,杭州市医疗保障管理服务中心西湖分中心（杭州市西湖区医疗保障管理服务中心）,基本医疗保障经办机构,浙江省杭州市西湖区文三西路18号,,S33010620012,20,西湖区
10,杭州西湖风景名胜区医疗保险办公室,基本医疗保障经办机构,赵公堤路18号1层,,S33010620013,20,西湖区
11,杭州高新技术产业开发区（滨江）医疗保障管理服务中心,基本医疗保障经办机构,杭州市滨江区丹枫路788号海越大厦,,S33010820014,20,滨江区
12,杭州市医疗保障局萧山分局,医保局机关,城厢街道萧然东路343号,,S33010910015,10,萧山区
13,杭州市萧山区医疗保障管理服务中心,基本医疗保障经办机构,浙江省杭州市萧山区城厢街道萧然南路373号,,S33010920199,20,萧山区
14,杭州市医疗保障局余杭分局,医保局机关,杭州市余杭区临平南大街265号市民之家,,S33011010016,10,余杭区
15,杭州市余杭区医疗保险事务中心,基本医疗保障经办机构,杭州市余杭区南苑街道南大街265号市民之家,,S33011020196,20,余杭区
16,杭州市医疗保障局富阳分局,医保局机关,江连街27号,,S33011110017,10,富阳区
17,杭州市富阳区医疗保障管理服务中心,基本医疗保障经办机构,浙江省杭州市富阳区鹿山街道江连街27号,,S33011120018,20,富阳区
18,杭州市医疗保障局临安分局,医保局机关,锦北街道科技大道4398号,,S33011210019,10,临安区
19,杭州市临安区医疗保障管理服务中心,基本医疗保障经办机构,杭州市临安区科技大道4398号,,S33011220020,20,临安区
20,杭州市临安区医疗保障事务受理中心,基本医疗保障经办机构,浙江省杭州市临安区科技大道4398号,,S33011220021,20,临安区
21,杭州市医疗保障局临平分局,医保局机关,杭州市临平区临平南大街265号市民之家,,S33011310214,10,临平区
22,杭州市临平区医疗保障管理服务中心,基本医疗保障经办机构,临平南大街265号(近时代广场),,S33011320215,20,临平区
23,桐庐县医疗保障局,医保局机关,迎春南路298号,,S33012210022,10,桐庐县
24,桐庐县医疗保障管理服务中心,基本医疗保障经办机构,桐庐县迎春南路258号,,S33012220023,20,桐庐县
25,淳安县医疗保障局,医保局机关,环湖北路375号商务大楼13楼,,S33012710024,10,淳安县
26,淳安县医疗保障服务中心,基本医疗保障经办机构,淳安县千岛湖镇环湖北路375号13楼,,S33012720025,20,淳安县
27,建德市医疗保障局,医保局机关,杭州国信路116号明珠商务大厦4楼,,S33018210026,10,建德市
28,建德市医疗保障管理服务中心,基本医疗保障经办机构,建德市新安江新安东路298号,,S33018220027,20,建德市
